PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
47145840,UG,BS   ,Bachelor of Science,5/2/23,BSKPT,Kinesiology: Pre-Physical Therapy
83976200,UG,BS   ,Bachelor of Science,9/8/22,BSBID,Biology: Dentistry
83978860,UG,BS   ,Bachelor of Science,8/23/22,BSPSY,Psychology
83984180,UG,BS   ,Bachelor of Science,8/15/23,BSSMB,SPORT MANAGEMENT: BUSINESS
83985510,UG,BS   ,Bachelor of Science,4/28/22,BSMGT,Management
83988170,UG,BS   ,Bachelor of Science,12/7/23,BSSMC,SPORT MANAGEMENT: COACHING
83990830,UG,BA   ,Bachelor of Arts,12/10/21,BAGS,General Studies
65457280,UG,BS   ,Bachelor of Science,12/10/21,BSMGT,Management
83992160,UG,BS   ,Bachelor of Science,4/28/22,BSKOT,Kinesiology: Pre-Occupational Therapy
83993490,UG,BA   ,Bachelor of Arts,12/10/21,BABS,BIBLICAL STUDIES
61106850,UG,BS   ,Bachelor of Science,4/26/19,BSMKT,Marketing
61117490,UG,BS   ,Bachelor of Science,10/31/19,BSPSY,Psychology
55772220,UG,BS   ,Bachelor of Science,8/20/20,BSMNL,MINISTERIAL LEADERSHIP (SN)
61132120,UG,BS   ,Bachelor of Science,4/26/19,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
81116700,UG,BS   ,Bachelor of Science,12/10/21,BSKEX,Kinesiology: Exercise Science
81124680,UG,BS   ,Bachelor of Science,4/30/21,BSMPO,MINISTERIAL LDRSP: PASTORAL CARE & COUNSELING
67726260,UG,BS   ,Bachelor of Science,12/17/20,BSCMS,Communication & Mass Media (SN)
81151280,UG,AML  ,Assoc Min Leadership,3/20/21,AML,Ministerial Leadership (SN)
55164410,UG,BS   ,Bachelor of Science,5/4/18,BSMED,MUSIC EDUCATION (K-12)
55220270,UG,BS   ,Bachelor of Science,5/4/18,BSPSY,Psychology
55225590,UG,BS   ,Bachelor of Science,12/14/18,BSCOM,COMMUNICATION
